# target_slot, uvidx, shift_flag, upix, vpix
0 5050 0 37 6
1 5044 0 56 6
2 4989 0 37 7
3 4761 0 38 7
4 4719 0 57 7
5 4868 0 38 8
6 4867 0 39 8
7 4788 0 57 8
8 4935 0 58 8
9 4760 0 39 9
10 4988 0 40 9
11 4718 0 58 9
12 4722 0 40 10
13 4863 0 58 10
14 4862 0 59 10
15 4319 1 40 11
0 4160 0 41 11
1 4079 0 59 11
2 4903 0 102 11
2 5051 0 102 11
3 5236 0 125 11
4 4232 0 41 12
5 4194 0 42 12
6 4360 0 59 12
7 4078 0 60 12
8 4723 0 102 12
9 4823 0 125 12
9 5184 0 125 12
10 4159 0 42 13
11 4318 0 43 13
12 4155 0 60 13
13 4314 0 61 13
14 4681 0 102 13
15 4677 1 125 13
0 3600 0 43 14
0 4277 0 43 14
1 3593 0 61 14
1 4269 0 61 14
2 4871 0 102 14
3 4870 0 103 14
4 4717 0 125 14
5 4987 0 18 15
5 5049 0 18 15
6 3786 0 43 15
7 3533 0 44 15
8 3641 0 61 15
9 3640 0 62 15
10 4195 0 103 15
10 4869 0 103 15
11 4676 0 125 15
12 4902 0 18 16
13 4791 0 19 16
14 3648 0 44 16
15 3647 1 45 16
0 3498 0 62 16
1 4083 0 103 16
2 4114 0 125 16
2 4980 0 125 16
3 4901 0 19 17
4 4829 0 20 17
5 3532 0 45 17
6 3785 0 46 17
7 3742 0 62 17
8 3562 0 63 17
9 4082 0 103 17
10 4045 0 125 17
11 4866 0 20 18
12 4828 0 21 18
13 2987 0 46 18
13 3697 0 46 18
14 2985 0 63 18
14 3694 0 63 18
15 3745 0 103 18
15 4116 1 103 18
0 4077 0 125 18
1 4865 0 21 19
2 4231 0 22 19
2 4986 0 22 19
3 3116 0 46 19
4 2958 0 47 19
5 2879 0 64 19
6 3504 0 104 19
7 3591 0 125 19
7 4227 0 125 19
8 4230 0 22 20
9 4193 0 23 20
10 2986 0 47 20
11 3029 0 48 20
12 2984 0 64 20
13 3023 0 65 20
14 3467 0 104 20
15 3497 1 125 20
0 4229 0 23 21
1 4228 0 24 21
2 2911 0 48 21
3 3162 0 49 21
4 2878 0 65 21
5 3503 0 104 21
6 3461 0 125 21
7 4192 0 24 22
8 3744 0 25 22
8 4317 0 25 22
9 2310 0 49 22
9 3115 0 49 22
10 3109 0 65 22
11 2304 0 66 22
12 3032 0 104 22
12 3601 0 104 22
13 3496 0 125 22
14 3599 0 25 23
15 3646 0 26 23
15 5266 1 -1 -1
0 2476 0 49 23
1 2309 0 50 23
2 2237 0 66 23
3 4983 0 84 23
3 5047 0 84 23
4 3031 0 104 23
5 3030 0 105 23
6 2908 0 125 23
6 3741 0 125 23
7 3598 0 26 24
8 3645 0 27 24
9 2340 0 50 24
10 2423 0 51 24
11 2236 0 67 24
12 4720 0 84 24
13 4982 0 85 24
14 5237 0 97 24
15 2840 1 105 24
0 2877 0 125 24
1 3597 0 27 25
2 3644 0 28 25
3 2271 0 51 25
4 2518 0 52 25
5 2303 0 67 25
6 2470 0 68 25
7 4641 0 85 25
8 4861 0 97 25
8 5185 0 97 25
9 4934 0 98 25
10 2881 0 105 25
11 3066 0 125 25
12 2950 0 126 25
13 3114 0 28 26
13 3696 0 28 26
14 3074 0 29 26
15 5186 1 47 26
0 4789 0 48 26
0 5238 0 48 26
1 1670 0 52 26
1 2475 0 52 26
2 1665 0 68 26
2 2469 0 68 26
3 4679 0 85 26
4 4640 0 98 26
5 2341 0 105 26
5 3075 0 105 26
6 2876 0 126 26
7 2957 0 29 27
8 3073 0 30 27
9 4825 0 48 27
10 4824 0 49 27
11 1839 0 52 27
12 1669 0 53 27
13 1756 0 68 27
14 1755 0 69 27
15 4900 1 85 27
0 4115 0 86 27
1 4678 0 98 27
2 2206 0 105 27
3 5240 0 116 27
4 2201 0 126 27
5 2956 0 30 28
6 3072 0 31 28
7 4759 0 49 28
8 4936 0 50 28
9 1717 0 53 28
10 1759 0 54 28
11 1557 0 69 28
12 4049 0 86 28
13 4268 0 98 28
13 4757 0 98 28
14 2240 0 106 28
15 4762 0 116 28
15 5188 1 116 28
0 2235 0 126 28
1 2955 0 31 29
2 3071 0 32 29
3 4271 0 50 29
3 4758 0 50 29
4 1628 0 54 29
5 1877 0 55 29
6 1592 0 70 29
7 4158 0 86 29
8 4275 0 87 29
9 4359 0 98 29
10 4047 0 99 29
11 2205 0 106 29
12 4644 0 116 29
13 2200 0 126 29
14 2339 0 32 30
15 2422 0 33 30
15 5266 1 -1 -1
0 4018 0 51 30
1 999 0 55 30
1 1876 0 55 30
2 1065 0 70 30
2 1875 0 70 30
3 1172 0 71 30
4 3531 0 87 30
4 4274 0 87 30
5 4046 0 99 30
6 1629 0 106 30
6 2519 0 106 30
7 4682 0 116 30
8 1832 0 126 30
8 2301 0 126 30
9 2308 0 33 31
10 2421 0 34 31
11 4270 0 51 31
12 4157 0 52 31
13 1177 0 55 31
14 1025 0 56 31
15 954 0 71 31
15 5266 1 -1 -1
0 3465 0 87 31
1 3639 0 99 31
1 4154 0 99 31
2 1560 0 106 31
3 4234 0 116 31
3 4793 0 116 31
4 1555 0 126 31
5 2307 0 34 32
6 2420 0 35 32
7 4156 0 52 32
8 3642 0 53 32
9 1069 0 56 32
10 1136 0 57 32
11 4801 0 69 32
11 5090 0 69 32
12 1102 0 71 32
13 1101 0 72 32
14 3783 0 87 32
15 3464 0 88 32
15 5266 1 -1 -1
0 3638 0 99 32
1 3592 0 100 32
2 1793 0 106 32
3 1718 0 107 32
4 4021 0 116 32
5 1591 0 126 32
6 5043 0 157 32
7 5055 0 180 32
8 2306 0 35 33
9 1792 0 36 33
10 3500 0 53 33
11 3743 0 54 33
12 959 0 57 33
13 5244 0 64 33
14 4912 0 69 33
15 4771 1 70 33
0 953 0 72 33
1 3070 0 88 33
1 3563 0 88 33
2 3416 0 100 33
3 1230 0 107 33
3 1595 0 107 33
4 4020 0 116 33
5 1554 0 126 33
6 4639 0 157 33
7 4614 0 180 33
8 1668 0 36 34
9 1838 0 37 34
10 3463 0 54 34
11 358 0 58 34
11 1228 0 58 34
12 4769 0 64 34
12 5192 0 64 34
13 4657 0 70 34
14 5008 0 71 34
15 600 0 72 34
15 1219 0 72 34
15 5266 1 -1 -1
0 388 0 73 34
1 3026 0 88 34
2 2953 0 89 34
3 3462 0 100 34
4 962 0 107 34
5 3748 0 116 34
5 4233 0 116 34
6 3650 0 117 34
7 1100 0 126 34
7 1753 0 126 34
8 4898 0 156 34
9 4756 0 157 34
10 4724 0 179 34
11 4941 0 180 34
12 1627 0 37 35
13 1837 0 38 35
14 3782 0 54 35
15 3160 0 55 35
15 3499 0 55 35
15 5266 1 -1 -1
0 506 0 58 35
1 434 0 59 35
2 4909 0 64 35
3 4734 0 65 35
4 4209 0 71 35
4 4843 0 71 35
5 318 0 73 35
6 2839 0 89 35
7 2837 0 100 35
8 3158 0 101 35
9 961 0 107 35
10 3419 0 117 35
11 914 0 126 35
12 4610 0 156 35
13 4645 0 179 35
14 1626 0 38 36
15 1836 0 39 36
15 5266 1 -1 -1
0 3024 0 55 36
1 2952 0 56 36
1 4985 0 56 36
1 5048 0 56 36
2 393 0 59 36
3 505 0 60 36
4 4733 0 65 36
5 4952 0 66 36
6 4208 0 71 36
7 4207 0 72 36
8 278 0 74 36
9 2880 0 89 36
10 3113 0 90 36
11 5211 0 96 36
