# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.1	238	 32	1	118	28	0	190	118	1.6312	60424.607892711	107.724	191.10352	-64.35778
6.1	100	239	3	60	52	0	190	60	0.8294	60424.607883431	200.059	192.46497	-63.47309
6.5	 67	196	0	204	64	0	203	204	2.8201	60424.607906471	246.226	192.78616	-63.65749
6.4	 10	 25	6	101	65	0	199	101	1.3962	60424.607889991	250.074	193.36885	-64.38684
6.2	 11	 25	7	187	65	0	195	187	2.5851	60424.607903751	250.074	193.35890	-64.38695
6.9	 10	 25	6	102	66	0	217	102	1.4100	60424.607890151	253.921	193.36885	-64.38684
6.1	 11	 26	3	100	66	0	191	100	1.3824	60424.607889831	253.921	193.35872	-64.38268
6.0	 11	 25	3	183	66	0	188	183	2.5298	60424.607903111	253.921	193.35890	-64.38695
6.4	 10	 25	5	186	66	0	199	186	2.5713	60424.607903591	253.921	193.36885	-64.38684
7.0	 11	 25	5	185	66	0	218	185	2.5574	60424.607903431	253.921	193.35890	-64.38695
6.9	 10	 25	6	102	67	0	215	102	1.4100	60424.607890151	257.768	193.36885	-64.38684
6.8	 11	 26	5	100	67	0	212	100	1.3824	60424.607889831	257.768	193.35872	-64.38268
6.5	 10	 25	5	186	67	0	205	186	2.5713	60424.607903591	257.768	193.36885	-64.38684
7.0	 11	 25	5	185	67	0	219	185	2.5574	60424.607903431	257.768	193.35890	-64.38695
7.8	 10	 25	5	102	68	0	244	102	1.4100	60424.607890151	261.615	193.36885	-64.38684
7.1	 11	 26	5	102	68	0	221	102	1.4100	60424.607890151	261.615	193.35872	-64.38268
7.5	 10	 25	5	186	68	0	234	186	2.5713	60424.607903591	261.615	193.36885	-64.38684
8.0	 11	 25	4	186	68	0	252	186	2.5713	60424.607903591	261.615	193.35890	-64.38695
7.4	 10	 26	6	102	69	0	233	102	1.4100	60424.607890151	265.463	193.36867	-64.38257
7.5	 11	 26	6	102	69	0	234	102	1.4100	60424.607890151	265.463	193.35872	-64.38268
6.1	 10	 26	7	104	69	0	190	104	1.4377	60424.607890471	265.463	193.36867	-64.38257
6.1	 11	 26	7	104	69	0	191	104	1.4377	60424.607890471	265.463	193.35872	-64.38268
6.2	 10	 26	1	183	69	0	195	183	2.5298	60424.607903111	265.463	193.36867	-64.38257
7.0	 10	 25	6	187	69	0	219	187	2.5851	60424.607903751	265.463	193.36885	-64.38684
7.7	 11	 25	6	187	69	0	242	187	2.5851	60424.607903751	265.463	193.35890	-64.38695
8.1	 10	 26	6	102	70	0	253	102	1.4100	60424.607890151	269.310	193.36867	-64.38257
8.1	 11	 26	5	102	70	0	254	102	1.4100	60424.607890151	269.310	193.35872	-64.38268
6.7	 10	 25	7	104	70	0	211	104	1.4377	60424.607890471	269.310	193.36885	-64.38684
6.4	 11	 26	7	104	70	0	200	104	1.4377	60424.607890471	269.310	193.35872	-64.38268
6.6	 10	 26	0	183	70	0	207	183	2.5298	60424.607903111	269.310	193.36867	-64.38257
6.1	 11	 26	0	183	70	0	190	183	2.5298	60424.607903111	269.310	193.35872	-64.38268
8.0	 10	 25	3	186	70	0	249	186	2.5713	60424.607903591	269.310	193.36885	-64.38684
8.2	 11	 25	5	187	70	0	256	187	2.5851	60424.607903751	269.310	193.35890	-64.38695
9.6	 10	 25	4	102	71	0	302	102	1.4100	60424.607890151	273.157	193.36885	-64.38684
9.5	 11	 26	4	102	71	0	297	102	1.4100	60424.607890151	273.157	193.35872	-64.38268
7.8	 10	 25	6	104	71	0	243	104	1.4377	60424.607890471	273.157	193.36885	-64.38684
7.9	 11	 26	6	104	71	0	246	104	1.4377	60424.607890471	273.157	193.35872	-64.38268
6.0	 10	 25	4	131	71	0	189	131	1.8109	60424.607894791	273.157	193.36885	-64.38684
6.4	 11	 25	4	159	71	0	201	159	2.1980	60424.607899271	273.157	193.35890	-64.38695
6.0	 11	 25	5	160	71	0	188	160	2.2118	60424.607899431	273.157	193.35890	-64.38695
9.0	 10	 26	3	186	71	0	283	186	2.5713	60424.607903591	273.157	193.36867	-64.38257
9.2	 11	 25	5	187	71	0	288	187	2.5851	60424.607903751	273.157	193.35890	-64.38695
6.5	  9	 25	2	102	72	0	205	102	1.4100	60424.607890151	277.005	193.37880	-64.38673
10.0	 10	 25	3	102	72	0	314	102	1.4100	60424.607890151	277.005	193.36885	-64.38684
9.7	 11	 26	3	102	72	0	304	102	1.4100	60424.607890151	277.005	193.35872	-64.38268
8.0	 10	 26	6	104	72	0	252	104	1.4377	60424.607890471	277.005	193.36867	-64.38257
8.4	 11	 26	6	104	72	0	263	104	1.4377	60424.607890471	277.005	193.35872	-64.38268
7.1	 10	 25	3	131	72	0	222	131	1.8109	60424.607894791	277.005	193.36885	-64.38684
7.1	 11	 26	2	130	72	0	223	130	1.7971	60424.607894631	277.005	193.35872	-64.38268
7.2	 11	 26	3	158	72	0	224	158	2.1842	60424.607899111	277.005	193.35872	-64.38268
6.5	 11	 26	5	160	72	0	204	160	2.2118	60424.607899431	277.005	193.35872	-64.38268
6.8	  9	 25	2	186	72	0	212	186	2.5713	60424.607903591	277.005	193.37880	-64.38673
10.2	 10	 25	2	186	72	0	318	186	2.5713	60424.607903591	277.005	193.36885	-64.38684
9.8	 11	 26	3	187	72	0	308	187	2.5851	60424.607903751	277.005	193.35872	-64.38268
6.1	 12	 25	4	188	72	0	191	188	2.5989	60424.607903911	277.005	193.34897	-64.38705
7.7	  9	 25	1	102	73	0	241	102	1.4100	60424.607890151	280.852	193.37880	-64.38673
11.1	 10	 25	1	102	73	0	346	102	1.4100	60424.607890151	280.852	193.36885	-64.38684
10.7	 11	 26	3	102	73	0	335	102	1.4100	60424.607890151	280.852	193.35872	-64.38268
8.7	 10	 26	6	104	73	0	272	104	1.4377	60424.607890471	280.852	193.36867	-64.38257
8.9	 11	 26	6	104	73	0	280	104	1.4377	60424.607890471	280.852	193.35872	-64.38268
7.2	 10	 26	0	129	73	0	227	129	1.7833	60424.607894471	280.852	193.36867	-64.38257
7.6	 11	 26	0	129	73	0	237	129	1.7833	60424.607894471	280.852	193.35872	-64.38268
6.8	 10	 25	1	158	73	0	212	158	2.1842	60424.607899111	280.852	193.36885	-64.38684
8.0	 11	 25	1	158	73	0	249	158	2.1842	60424.607899111	280.852	193.35890	-64.38695
6.8	 11	 26	5	160	73	0	213	160	2.2118	60424.607899431	280.852	193.35872	-64.38268
9.0	  9	 25	1	186	73	0	282	186	2.5713	60424.607903591	280.852	193.37880	-64.38673
13.2	 10	 25	1	186	73	0	412	186	2.5713	60424.607903591	280.852	193.36885	-64.38684
12.2	 11	 26	1	186	73	0	383	186	2.5713	60424.607903591	280.852	193.35872	-64.38268
7.0	 12	 26	1	186	73	0	220	186	2.5713	60424.607903591	280.852	193.34879	-64.38278
6.1	 10	 25	7	192	73	0	190	192	2.6542	60424.607904551	280.852	193.36885	-64.38684
6.1	 11	 25	7	192	73	0	190	192	2.6542	60424.607904551	280.852	193.35890	-64.38695
6.4	 10	 25	1	46	74	0	199	46	0.6359	60424.607881191	284.699	193.36885	-64.38684
7.2	  9	 25	1	102	74	0	227	102	1.4100	60424.607890151	284.699	193.37880	-64.38673
11.5	 10	 25	2	102	74	0	360	102	1.4100	60424.607890151	284.699	193.36885	-64.38684
11.0	 11	 26	2	102	74	0	345	102	1.4100	60424.607890151	284.699	193.35872	-64.38268
6.4	 12	 26	3	103	74	0	199	103	1.4239	60424.607890311	284.699	193.34879	-64.38278
9.3	 10	 26	5	104	74	0	291	104	1.4377	60424.607890471	284.699	193.36867	-64.38257
9.3	 11	 26	5	104	74	0	292	104	1.4377	60424.607890471	284.699	193.35872	-64.38268
7.9	 10	 25	3	131	74	0	248	131	1.8109	60424.607894791	284.699	193.36885	-64.38684
7.2	 11	 26	3	131	74	0	227	131	1.8109	60424.607894791	284.699	193.35872	-64.38268
6.6	 10	 26	3	159	74	0	208	159	2.1980	60424.607899271	284.699	193.36867	-64.38257
8.5	 11	 26	3	159	74	0	266	159	2.1980	60424.607899271	284.699	193.35872	-64.38268
7.5	 11	 26	4	160	74	0	234	160	2.2118	60424.607899431	284.699	193.35872	-64.38268
7.5	  9	 25	3	187	74	0	234	187	2.5851	60424.607903751	284.699	193.37880	-64.38673
12.0	 10	 26	3	187	74	0	375	187	2.5851	60424.607903751	284.699	193.36867	-64.38257
11.5	 11	 26	3	187	74	0	361	187	2.5851	60424.607903751	284.699	193.35872	-64.38268
6.6	 12	 26	3	188	74	0	206	188	2.5989	60424.607903911	284.699	193.34879	-64.38278
6.1	 10	 25	7	192	74	0	192	192	2.6542	60424.607904551	284.699	193.36885	-64.38684
6.6	 11	 25	7	192	74	0	208	192	2.6542	60424.607904551	284.699	193.35890	-64.38695
6.1	 11	 26	0	46	75	0	191	46	0.6359	60424.607881191	288.546	193.35872	-64.38268
9.3	  9	 25	0	102	75	0	291	102	1.4100	60424.607890151	288.546	193.37880	-64.38673
13.8	 10	 25	0	102	75	0	431	102	1.4100	60424.607890151	288.546	193.36885	-64.38684
13.4	 11	 26	0	102	75	0	420	102	1.4100	60424.607890151	288.546	193.35872	-64.38268
