,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
3,16.7,10,26,1,103,77,0,522,103,1.4239,60424.607890311,296.241,193.36867,-64.38257,63.789024353027344,3,-1,1.0,0.0,0.0,0.888,0.455,98,10.52,25.76,1,,,,,,,J1243-6423,26.95903646358354
4,19.1,11,26,0,187,77,0,597,187,2.5851,60424.607903751,296.241,193.35872,-64.38268,147.78902435302734,4,-1,1.0,0.0,0.0,0.863,0.477,105,10.59,25.66,1,,,,,,,J1243-6423,28.092108532770144
5,11.8,10,25,0,131,78,0,371,131,1.8109,60424.607894791,300.088,193.36887,-64.38684,91.27983093261719,5,-1,1.0,0.0,0.0,0.717,0.478,36,10.33,25.33,1,,,,,,,J1243-6423,12.069189609371922
6,12.6,10,25,0,159,77,0,394,159,2.198,60424.607899271,296.241,193.36887,-64.38684,119.78902435302734,6,-1,1.0,0.0,0.0,0.844,0.487,44,10.59,25.64,1,,,,,,,J1243-6423,12.069189609371922
7,6.4,10,25,1,46,74,0,199,46,0.6359,60424.607881191,284.699,193.36887,-64.38684,8.316749572753906,7,-1,1.0,0.0,0.0,0.548,0.548,6,10.5,25.5,1,,,,,,,J1243-6423,12.069189609371922
8,6.9,10,25,0,243,77,0,217,243,3.3592,60424.607912711,296.241,193.36887,-64.38684,203.78902435302734,8,-1,1.0,0.0,0.0,0.0,0.0,4,10.0,25.0,1,,,,,,,J1243-6423,12.069189609371922
10,19.7,10,26,1,156,77,1,616,412,5.6955,60424.607939751,296.241,193.36867,-64.38257,372.78902435302734,10,-1,1.0,0.0,0.0,0.915,0.45,140,10.43,25.72,1,,,,,,,J1243-6423,26.95903646358354
11,17.8,10,25,1,16,77,1,556,272,3.7601,60424.607917351,296.241,193.36887,-64.38684,232.78902435302734,11,-1,1.0,0.0,0.0,0.817,0.395,105,10.29,25.19,1,,,,,,,J1243-6423,12.069189609371922
12,14.2,10,26,1,128,77,1,445,384,5.3084,60424.607935271,296.241,193.36867,-64.38257,344.78902435302734,12,-1,1.0,0.0,0.0,0.68,0.422,62,10.35,25.77,1,,,,,,,J1243-6423,26.95903646358354
13,12.4,10,25,1,72,77,1,388,328,4.5343,60424.607926311,296.241,193.36887,-64.38684,288.78902435302734,13,-1,1.0,0.0,0.0,0.747,0.423,53,10.02,25.23,1,,,,,,,J1243-6423,12.069189609371922
14,13.1,10,26,0,184,77,1,411,440,6.0826,60424.607944231,296.241,193.36867,-64.38257,400.78902435302734,14,-1,1.0,0.0,0.0,0.834,0.44,51,10.49,25.75,1,,,,,,,J1243-6423,26.95903646358354
15,14.2,10,25,0,212,77,1,446,468,6.4696,60424.607948711,296.241,193.36887,-64.38684,428.78902435302734,15,-1,1.0,0.0,0.0,0.667,0.334,56,10.25,25.12,1,,,,,,,J1243-6423,12.069189609371922
16,8.8,10,25,1,44,78,1,277,300,4.1472,60424.607921831,300.088,193.36887,-64.38684,260.2798309326172,16,-1,1.0,0.0,0.0,0.704,0.507,15,9.93,25.4,1,,,,,,,J1243-6423,12.069189609371922
20,6.2,108,187,7,172,244,1,194,428,5.9167,60424.607942311,938.738,192.3893,-63.69779,303.74700927734375,20,-1,1.0,0.0,0.0,0.0,0.0,3,108.0,187.0,1,,,,,,,,
22,7.2,79,185,1,73,252,1,227,329,4.5481,60424.607926471,969.516,192.67068,-63.70551,200.6731719970703,22,-1,1.0,0.0,0.0,0.48,0.277,13,78.69,185.08,1,,,,,,,,
23,21.3,10,26,0,9,77,3,667,777,10.7412,60424.607998151,296.241,193.36867,-64.38257,737.7890243530273,23,-1,1.0,0.0,0.0,0.796,0.47,132,10.48,25.67,1,,,,,,,J1243-6423,26.95903646358354
26,16.4,10,26,0,237,77,2,512,749,10.3542,60424.607993671,296.241,193.36867,-64.38257,709.7890243530273,26,-1,1.0,0.0,0.0,0.979,0.331,81,10.36,25.88,1,,,,,,,J1243-6423,26.95903646358354
27,9.0,11,25,0,209,77,2,283,721,9.9671,60424.607989191,296.241,193.3589,-64.38695,681.7890243530273,27,-1,1.0,0.0,0.0,0.522,0.522,12,10.5,25.5,1,,,,,,,J1243-6423,15.208514231835801
