# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.1	 89	 77	1	71	22	0	190	71	0.9815	60424.598228871	84.640	179.93663	-63.12439
6.1	155	243	4	214	69	0	191	214	2.9583	60424.598251751	265.463	179.31506	-62.41018
6.6	155	243	7	217	69	0	206	217	2.9998	60424.598252231	265.463	179.31506	-62.41018
6.7	155	243	5	215	70	0	209	215	2.9722	60424.598251911	269.310	179.31506	-62.41018
6.7	155	243	7	217	70	0	210	217	2.9998	60424.598252231	269.310	179.31506	-62.41018
6.2	155	243	4	215	71	0	195	215	2.9722	60424.598251911	273.157	179.31506	-62.41018
7.2	155	243	7	218	71	0	224	218	3.0136	60424.598252391	273.157	179.31506	-62.41018
6.1	155	243	7	215	72	0	191	215	2.9722	60424.598251911	277.005	179.31506	-62.41018
6.1	154	243	6	219	72	0	192	219	3.0275	60424.598252551	277.005	179.32434	-62.41021
7.9	155	243	7	219	72	0	247	219	3.0275	60424.598252551	277.005	179.31506	-62.41018
6.3	155	243	1	215	73	0	198	215	2.9722	60424.598251911	280.852	179.31506	-62.41018
6.5	154	243	5	219	73	0	205	219	3.0275	60424.598252551	280.852	179.32434	-62.41021
8.4	155	243	5	218	73	0	264	218	3.0136	60424.598252391	280.852	179.31506	-62.41018
6.8	156	243	3	216	73	0	212	216	2.9860	60424.598252071	280.852	179.30579	-62.41016
7.0	154	243	5	219	74	0	220	219	3.0275	60424.598252551	284.699	179.32434	-62.41021
9.2	155	243	6	219	74	0	289	219	3.0275	60424.598252551	284.699	179.31506	-62.41018
7.1	156	243	6	219	74	0	223	219	3.0275	60424.598252551	284.699	179.30579	-62.41016
7.4	154	243	5	220	75	0	233	220	3.0413	60424.598252711	288.546	179.32434	-62.41021
9.8	155	243	6	220	75	0	307	220	3.0413	60424.598252711	288.546	179.31506	-62.41018
7.7	156	243	6	220	75	0	240	220	3.0413	60424.598252711	288.546	179.30579	-62.41016
7.6	154	243	6	220	76	0	237	220	3.0413	60424.598252711	292.394	179.32434	-62.41021
10.1	155	243	6	220	76	0	317	220	3.0413	60424.598252711	292.394	179.31506	-62.41018
8.0	156	243	5	219	76	0	250	219	3.0275	60424.598252551	292.394	179.30579	-62.41016
8.0	154	243	5	220	77	0	250	220	3.0413	60424.598252711	296.241	179.32434	-62.41021
10.7	155	243	5	220	77	0	335	220	3.0413	60424.598252711	296.241	179.31506	-62.41018
8.3	156	243	4	219	77	0	261	219	3.0275	60424.598252551	296.241	179.30579	-62.41016
8.9	154	243	6	220	78	0	280	220	3.0413	60424.598252711	300.088	179.32434	-62.41021
11.9	155	243	6	220	78	0	373	220	3.0413	60424.598252711	300.088	179.31506	-62.41018
8.9	156	243	5	220	78	0	280	220	3.0413	60424.598252711	300.088	179.30579	-62.41016
10.2	154	243	3	219	79	0	318	219	3.0275	60424.598252551	303.936	179.32434	-62.41021
13.4	155	243	3	219	79	0	419	219	3.0275	60424.598252551	303.936	179.31506	-62.41018
10.2	156	243	4	220	79	0	320	220	3.0413	60424.598252711	303.936	179.30579	-62.41016
6.6	155	243	7	224	79	0	206	224	3.0966	60424.598253351	303.936	179.31506	-62.41018
10.7	154	243	3	220	80	0	336	220	3.0413	60424.598252711	307.783	179.32434	-62.41021
13.9	155	243	3	220	80	0	434	220	3.0413	60424.598252711	307.783	179.31506	-62.41018
10.3	156	243	5	221	80	0	324	221	3.0551	60424.598252871	307.783	179.30579	-62.41016
7.3	154	243	7	224	80	0	229	224	3.0966	60424.598253351	307.783	179.32434	-62.41021
9.3	155	243	7	224	80	0	290	224	3.0966	60424.598253351	307.783	179.31506	-62.41018
6.9	156	243	7	224	80	0	215	224	3.0966	60424.598253351	307.783	179.30579	-62.41016
6.3	155	242	2	249	80	0	198	249	3.4422	60424.598257351	307.783	179.31503	-62.41451
11.7	154	243	2	220	81	0	367	220	3.0413	60424.598252711	311.630	179.32434	-62.41021
14.9	155	243	3	220	81	0	467	220	3.0413	60424.598252711	311.630	179.31506	-62.41018
11.4	156	243	3	220	81	0	356	220	3.0413	60424.598252711	311.630	179.30579	-62.41016
8.2	154	243	7	224	81	0	256	224	3.0966	60424.598253351	311.630	179.32434	-62.41021
10.5	155	243	7	224	81	0	330	224	3.0966	60424.598253351	311.630	179.31506	-62.41018
8.1	156	243	7	224	81	0	255	224	3.0966	60424.598253351	311.630	179.30579	-62.41016
6.8	155	242	2	249	81	0	212	249	3.4422	60424.598257351	311.630	179.31503	-62.41451
12.8	154	243	1	220	82	0	400	220	3.0413	60424.598252711	315.477	179.32434	-62.41021
16.3	155	243	1	220	82	0	509	220	3.0413	60424.598252711	315.477	179.31506	-62.41018
11.6	156	243	2	220	82	0	362	220	3.0413	60424.598252711	315.477	179.30579	-62.41016
8.6	154	243	6	224	82	0	270	224	3.0966	60424.598253351	315.477	179.32434	-62.41021
11.2	155	243	6	224	82	0	351	224	3.0966	60424.598253351	315.477	179.31506	-62.41018
8.5	156	243	6	224	82	0	266	224	3.0966	60424.598253351	315.477	179.30579	-62.41016
7.8	155	243	1	249	82	0	245	249	3.4422	60424.598257351	315.477	179.31506	-62.41018
13.7	154	243	1	220	83	0	428	220	3.0413	60424.598252711	319.325	179.32434	-62.41021
17.8	155	243	1	220	83	0	556	220	3.0413	60424.598252711	319.325	179.31506	-62.41018
12.3	156	243	1	220	83	0	386	220	3.0413	60424.598252711	319.325	179.30579	-62.41016
9.5	154	243	6	224	83	0	297	224	3.0966	60424.598253351	319.325	179.32434	-62.41021
12.0	155	243	6	224	83	0	375	224	3.0966	60424.598253351	319.325	179.31506	-62.41018
8.8	156	243	6	224	83	0	276	224	3.0966	60424.598253351	319.325	179.30579	-62.41016
7.1	155	242	1	249	83	0	221	249	3.4422	60424.598257351	319.325	179.31503	-62.41451
6.3	155	243	1	134	84	0	198	134	1.8524	60424.598238951	323.172	179.31506	-62.41018
15.1	154	243	0	220	84	0	473	220	3.0413	60424.598252711	323.172	179.32434	-62.41021
19.5	155	243	0	220	84	0	610	220	3.0413	60424.598252711	323.172	179.31506	-62.41018
13.3	156	243	0	220	84	0	415	220	3.0413	60424.598252711	323.172	179.30579	-62.41016
9.8	154	243	5	224	84	0	308	224	3.0966	60424.598253351	323.172	179.32434	-62.41021
12.6	155	243	5	224	84	0	395	224	3.0966	60424.598253351	323.172	179.31506	-62.41018
9.3	156	243	5	224	84	0	290	224	3.0966	60424.598253351	323.172	179.30579	-62.41016
7.4	155	242	1	249	84	0	232	249	3.4422	60424.598257351	323.172	179.31503	-62.41451
6.3	156	242	1	249	84	0	196	249	3.4422	60424.598257351	323.172	179.30576	-62.41449
