,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep
1,19.5,155,243,0,220,84,0,610,220,3.0413,60424.598252711,323.172,179.31506,-62.41018,1,-1,1.0,0.0,0.0,0.772,0.0,130,154.96,243.0,1,J1157-6224,14.563865929972502,,,,
2,7.8,155,243,1,249,82,0,245,249,3.4422,60424.598257351,315.477,179.31506,-62.41018,2,-1,1.0,0.0,0.0,0.316,0.516,10,155.1,242.4,1,J1157-6224,14.563865929972502,,,,
9,9.4,155,243,1,138,84,1,293,394,5.4467,60424.598280551,323.172,179.31506,-62.41018,9,-1,1.0,0.0,0.0,0.72,0.0,26,154.96,243.0,1,J1157-6224,14.563865929972502,,,,
10,10.8,155,243,0,51,85,1,339,307,4.244,60424.598266631,327.019,179.31506,-62.41018,10,-1,1.0,0.0,0.0,0.587,0.272,26,154.77,243.08,1,J1157-6224,14.563865929972502,,,,
11,8.7,155,243,0,80,84,1,272,336,4.6449,60424.598271271,323.172,179.31506,-62.41018,11,-1,1.0,0.0,0.0,0.441,0.0,9,154.78,243.0,1,J1157-6224,14.563865929972502,,,,
23,12.8,155,243,1,230,84,2,402,742,10.2574,60424.598336231,323.172,179.31506,-62.41018,23,-1,1.0,0.0,0.0,0.777,0.202,74,154.74,242.99,1,J1157-6224,14.563865929972502,,,,
24,7.8,155,243,1,114,84,2,244,626,8.6538,60424.598317671,323.172,179.31506,-62.41018,24,-1,1.0,0.0,0.0,0.422,0.0,10,154.8,243.0,1,J1157-6224,14.563865929972502,,,,
37,8.6,155,243,2,4,84,3,268,772,10.6721,60424.598341031,323.172,179.31506,-62.41018,38,-1,1.0,0.0,0.0,0.426,0.0,14,155.21,243.0,1,J1157-6224,14.563865929972502,,,,
38,6.6,155,243,3,62,84,3,206,830,11.4739,60424.598350311,323.172,179.31506,-62.41018,39,-1,1.0,0.0,0.0,0.0,0.0,3,155.0,243.0,1,J1157-6224,14.563865929972502,,,,
45,6.5,220,67,5,148,257,3,205,916,12.6628,60424.598364071,988.753,178.68993,-63.1642,46,-1,1.0,0.0,0.0,0.518,0.0,8,219.38,67.0,1,,,,,,
46,6.4,56,206,6,187,256,3,201,955,13.2019,60424.598370311,984.905,180.23721,-62.56811,47,-1,1.0,0.0,0.0,0.0,0.0,4,56.0,206.0,1,,,,,,
48,9.4,155,243,1,95,84,4,293,1119,15.4691,60424.598396551,323.172,179.31506,-62.41018,49,-1,1.0,0.0,0.0,0.543,0.0,26,155.15,243.0,1,J1157-6224,14.563865929972502,,,,
49,13.8,155,243,1,124,84,4,431,1148,15.87,60424.598401191,323.172,179.31506,-62.41018,50,-1,1.0,0.0,0.0,0.825,0.354,42,155.05,242.86,1,J1157-6224,14.563865929972502,,,,
50,11.3,155,243,1,182,85,4,355,1206,16.6717,60424.598410471,327.019,179.31506,-62.41018,51,-1,1.0,0.0,0.0,0.768,0.0,40,154.98,243.0,1,J1157-6224,14.563865929972502,,,,
51,9.6,155,243,1,153,84,4,300,1177,16.2708,60424.598405831,323.172,179.31506,-62.41018,52,-1,1.0,0.0,0.0,0.68,0.0,16,155.06,243.0,1,J1157-6224,14.563865929972502,,,,
52,8.1,155,243,1,8,85,4,254,1032,14.2664,60424.598382631,327.019,179.31506,-62.41018,53,-1,1.0,0.0,0.0,0.422,0.422,10,154.8,243.2,1,J1157-6224,14.563865929972502,,,,
53,7.3,155,243,0,65,84,4,228,1089,15.0543,60424.598391751,323.172,179.31506,-62.41018,54,-1,1.0,0.0,0.0,0.5,0.0,9,155.0,243.0,1,J1157-6224,14.563865929972502,,,,
