,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
7,6.2,249,165,6,96,119,5,163,1376,19.0218,60381.266770471,531.186,44.02617,-54.53653,1305.6912994384766,7,-1,1.0,0.0,0.0,0.447,0.0,5,248.8,165.0,1,,,,,,,,
26,6.4,91,161,1,77,156,30,168,7757,107.2328,60381.267791431,696.345,45.19503,-54.55778,7664.83056640625,26,-1,1.0,0.0,0.0,0.0,0.0,3,91.0,161.0,1,,,,,,,,
28,6.3,177,114,3,142,76,31,165,8078,111.6703,60381.267842791,339.245,44.55598,-54.75949,8033.096942901611,28,-1,1.0,0.0,0.0,0.0,0.0,6,177.0,114.0,1,,,,,,,,
43,6.3,151,235,6,166,72,43,165,11174,154.4694,60381.268338151,321.39,44.75276,-54.23924,11131.460262298584,43,-1,1.0,0.0,0.0,0.0,0.0,4,151.0,235.0,1,,,,,,,,
47,6.3,170,46,6,129,114,44,166,11393,157.4968,60381.268373191,508.868,44.60646,-55.05135,11325.645347595215,47,-1,1.0,0.0,0.0,0.0,0.0,4,170.0,46.0,1,,,,,,,,
59,6.2,218,163,3,240,53,54,162,14064,194.4207,60381.268800551,236.579,44.25484,-54.54712,14032.685995101929,59,-1,1.0,0.0,0.0,0.0,0.0,3,218.0,163.0,1,,,,,,,,
71,6.1,186,162,3,196,8,60,161,15556,215.0461,60381.269039271,35.71,44.49134,-54.55287,15551.273362159729,71,-1,1.0,0.0,0.0,0.0,0.0,3,186.0,162.0,1,,,,,,,,
76,6.4,45,143,6,117,84,60,169,15477,213.9541,60381.269026631,374.955,45.53752,-54.63349,15427.370307922363,76,-1,1.0,0.0,0.0,0.378,0.0,7,44.86,143.0,1,,,,,,,,
81,6.5,91,194,3,38,146,61,171,15654,216.4009,60381.269054951,651.708,45.19441,-54.41572,15567.738792419434,81,-1,1.0,0.0,0.0,0.422,0.316,10,91.8,194.9,1,,,,,,,,
102,6.5,56,121,3,134,46,68,171,17542,242.5006,60381.269357031,205.333,45.45691,-54.72856,17514.821767807007,102,-1,1.0,0.0,0.0,0.516,0.0,6,55.67,121.0,1,,,,,,,,
116,6.3,5,250,3,102,152,71,165,18278,252.6751,60381.269474791,678.49,45.82661,-54.17001,18188.193885803223,116,-1,1.0,0.0,0.0,0.0,0.0,3,5.0,250.0,1,,,,,,,,
137,6.3,117,106,6,206,67,81,165,20942,289.5022,60381.269901031,299.071,45.00264,-54.79454,20902.41444015503,137,-1,1.0,0.0,0.0,0.0,0.0,3,117.0,106.0,1,,,,,,,RACS_0310-56A_6335,42.58865233407006
141,6.2,218,78,1,84,156,81,162,20820,287.8157,60381.269881511,696.345,44.24893,-54.91224,20727.83056640625,141,-1,1.0,0.0,0.0,0.0,0.0,3,218.0,78.0,1,,,,,,,,
154,6.0,82,88,0,193,116,87,159,22465,310.5562,60381.270144711,517.795,45.26448,-54.87118,22396.463752746582,154,-1,1.0,0.0,0.0,0.577,0.0,4,82.5,88.0,1,,,,,,,,
163,6.2,230,150,3,23,134,90,163,23063,318.8229,60381.270240391,598.143,44.16505,-54.60233,22983.828758239746,163,-1,1.0,0.0,0.0,0.0,0.0,3,230.0,150.0,1,,,,,,,,
166,6.3,26,4,1,35,56,91,165,23331,322.5277,60381.270283271,249.97,45.69182,-55.22842,23297.913536071777,166,-1,1.0,0.0,0.0,0.0,0.0,3,26.0,4.0,1,,,,,,,,
184,6.2,181,193,3,31,70,97,163,24863,343.7061,60381.270528391,312.463,44.52991,-54.41959,24821.64185333252,184,-1,1.0,0.0,0.0,0.0,0.0,4,181.0,193.0,1,,,,,,,,
202,6.8,203,101,2,189,155,106,178,27325,377.7408,60381.270922311,691.881,44.36196,-54.81431,27233.421432495117,202,-1,1.0,0.0,0.0,0.496,0.496,19,202.37,100.37,1,,,,,,,,
204,6.2,108,156,5,28,47,107,162,27420,379.0541,60381.270937511,209.796,45.06899,-54.57959,27392.231035232544,204,-1,1.0,0.0,0.0,0.0,0.0,3,108.0,156.0,1,,,,,,,,
215,6.8,105,207,3,160,155,111,179,28576,395.0346,60381.271122471,691.881,45.09089,-54.35996,28484.421432495117,215,-1,1.0,0.0,0.0,0.5,0.5,4,104.75,207.25,1,,,,,,,,
229,6.7,130,135,1,20,10,117,176,29972,414.3329,60381.271345831,44.638,44.90574,-54.67,29966.091636657715,229,-1,1.0,0.0,0.0,0.0,0.0,3,130.0,135.0,1,,,,,,,,
262,6.3,221,166,2,205,146,138,167,35533,491.2082,60381.272235591,651.708,44.23286,-54.53403,35446.73879241943,262,-1,1.0,0.0,0.0,0.0,0.0,4,221.0,166.0,1,,,,,,,,
311,6.5,12,63,1,82,15,165,171,42322,585.0594,60381.273321831,66.956,45.79083,-54.97486,42313.1375875473,312,-1,1.0,0.0,0.0,0.0,0.577,3,12.0,63.33,1,,,,,,,,
