# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.1	224	245	0	94	33	0	160	94	1.2995	60381.266565351	147.304	51.48723	-54.13817
6.1	250	  6	0	194	155	0	160	194	2.6819	60381.266581351	691.881	51.27472	-55.16330
6.0	130	168	1	187	136	1	159	443	6.1240	60381.266621191	607.070	52.17346	-54.47266
6.1	 41	185	1	82	153	6	161	1618	22.3672	60381.266809191	682.954	52.83177	-54.39721
6.2	188	129	1	188	23	9	163	2492	34.4494	60381.266949031	102.666	51.74305	-54.63928
6.1	151	194	3	77	102	9	160	2381	32.9149	60381.266931271	455.303	52.01912	-54.36058
6.0	243	142	0	8	81	11	158	2824	39.0390	60381.267002151	361.564	51.33733	-54.58052
6.0	226	 45	0	176	95	11	159	2992	41.3614	60381.267029031	424.056	51.45631	-54.99790
6.0	 33	 55	1	109	159	13	158	3437	47.5131	60381.267100231	709.736	52.90105	-54.95518
6.0	 96	173	3	28	29	15	158	3868	53.4712	60381.267169191	129.449	52.42496	-54.45084
6.0	 16	163	1	188	131	15	158	4028	55.6831	60381.267194791	584.751	53.01862	-54.49038
6.1	248	246	1	93	160	18	161	4701	64.9866	60381.267302471	714.200	51.31207	-54.13232
6.2	249	246	1	93	160	18	162	4701	64.9866	60381.267302471	714.200	51.30477	-54.13224
6.2	104	 95	2	134	161	18	163	4742	65.5534	60381.267309031	718.664	52.36710	-54.78620
6.0	 22	  6	3	20	87	20	159	5140	71.0554	60381.267372711	388.346	52.98930	-55.16433
6.0	231	 97	6	21	95	20	159	5141	71.0692	60381.267372871	424.056	51.42239	-54.77460
6.2	196	209	2	150	2	26	162	6806	94.0861	60381.267639271	8.928	51.68898	-54.29474
6.0	 33	 61	1	57	75	27	158	6969	96.3395	60381.267665351	334.781	52.90046	-54.92947
6.8	 32	140	0	238	43	28	180	7406	102.3805	60381.267735271	191.941	52.90133	-54.59030
6.0	 33	140	0	238	43	28	158	7406	102.3805	60381.267735271	191.941	52.89388	-54.59035
6.0	 51	 64	3	34	129	30	159	7714	106.6383	60381.267784551	575.824	52.76516	-54.91755
6.0	255	247	0	181	61	33	158	8629	119.2873	60381.267930951	272.289	51.26109	-54.12749
6.1	 28	116	0	87	148	36	160	9303	128.6047	60381.268038791	660.635	52.93298	-54.69318
6.1	 81	167	0	97	100	37	160	9569	132.2819	60381.268081351	446.375	52.53613	-54.47630
6.3	182	 34	1	197	156	37	167	9669	133.6643	60381.268097351	696.345	51.78472	-55.04703
6.4	112	111	2	190	30	39	169	10174	140.6454	60381.268178151	133.913	52.30712	-54.71761
6.1	112	111	2	190	31	39	161	10174	140.6454	60381.268178151	138.376	52.30712	-54.71761
6.0	 18	158	3	181	35	39	158	10165	140.5210	60381.268176711	156.231	53.00411	-54.51202
6.1	226	 97	6	6	40	44	161	11270	155.7965	60381.268353511	178.550	51.45946	-54.77490
6.0	226	 97	7	8	43	44	158	11272	155.8241	60381.268353831	191.941	51.45946	-54.77490
6.0	230	161	1	215	134	44	158	11479	158.6857	60381.268386951	598.143	51.43491	-54.49966
6.0	124	223	0	12	28	46	158	11788	162.9573	60381.268436391	124.985	52.21872	-54.23577
6.1	181	215	3	232	33	48	160	12520	173.0765	60381.268553511	147.304	51.79952	-54.26942
6.0	188	106	0	91	32	49	158	12635	174.6662	60381.268571911	142.840	51.74203	-54.73807
6.1	219	 42	2	98	125	49	160	12642	174.7630	60381.268573031	557.969	51.50836	-55.01114
6.2	168	150	0	53	90	50	163	12853	177.6799	60381.268606791	401.738	51.89197	-54.54961
6.0	 32	203	5	248	130	51	158	13304	183.9145	60381.268678951	580.288	52.89739	-54.31918
6.2	 32	203	3	248	132	51	163	13304	183.9145	60381.268678951	589.215	52.89739	-54.31918
6.2	247	 23	0	70	155	53	163	13638	188.5317	60381.268732391	691.881	51.29813	-55.09074
6.0	178	 99	2	244	89	54	158	14068	194.4760	60381.268801191	397.274	51.81607	-54.76845
6.0	 89	125	0	131	53	55	158	14211	196.4529	60381.268824071	236.579	52.47793	-54.65709
6.1	141	 82	3	111	78	55	161	14191	196.1764	60381.268820871	348.173	52.09134	-54.84211
6.0	141	 82	4	112	78	55	159	14192	196.1902	60381.268821031	348.173	52.09134	-54.84211
6.1	141	 82	5	113	80	55	160	14193	196.2040	60381.268821191	357.100	52.09134	-54.84211
6.4	 22	162	1	163	109	55	168	14243	196.8952	60381.268829191	486.549	52.97408	-54.49508
6.1	 22	162	2	164	110	55	160	14244	196.9091	60381.268829351	491.013	52.97408	-54.49508
6.0	155	 85	3	136	133	55	158	14216	196.5220	60381.268824871	593.679	51.98697	-54.82906
6.1	 27	 92	0	233	89	56	161	14569	201.4019	60381.268881351	397.274	52.94252	-54.79615
6.2	247	231	1	205	84	58	163	15053	208.0927	60381.268958791	374.955	51.31743	-54.19707
6.2	182	  8	1	225	32	59	163	15329	211.9081	60381.269002951	142.840	51.78437	-55.15834
6.4	222	162	0	206	87	59	168	15310	211.6454	60381.268999911	388.346	51.49395	-54.49583
6.2	213	 54	3	192	119	60	163	15552	214.9908	60381.269038631	531.186	51.55369	-54.96004
6.1	 21	143	0	113	2	61	161	15729	217.4377	60381.269066951	8.928	52.98295	-54.57672
6.0	 64	203	6	20	43	61	158	15636	216.1521	60381.269052071	191.941	52.66091	-54.32073
6.1	253	207	0	243	154	62	160	16115	222.7738	60381.269128711	687.418	51.27065	-54.30007
6.0	 58	207	1	233	61	64	158	16617	229.7134	60381.269209031	272.289	52.70510	-54.30325
6.2	 85	192	1	20	90	64	163	16404	226.7689	60381.269174951	401.738	52.50602	-54.36879
6.0	 38	 96	0	176	127	67	158	17328	239.5423	60381.269322791	566.896	52.85989	-54.77962
6.1	 80	 20	1	155	141	67	161	17307	239.2520	60381.269319431	629.389	52.55059	-55.10714
6.0	 63	129	7	174	154	68	158	17582	243.0536	60381.269363431	687.418	52.67123	-54.63908
6.2	 43	108	1	103	48	69	164	17767	245.6110	60381.269393031	214.260	52.82162	-54.72837
6.0	  3	 63	0	0	131	69	158	17664	244.1871	60381.269376551	584.751	53.12547	-54.91887
6.1	152	247	0	18	69	71	161	18194	251.5139	60381.269461351	307.999	52.01409	-54.13209
6.0	134	 43	2	165	154	71	158	18341	253.5460	60381.269484871	687.418	52.14410	-55.00934
6.4	143	226	0	95	20	72	169	18527	256.1172	60381.269514631	89.275	52.07916	-54.22277
6.1	143	225	3	149	120	72	161	18581	256.8637	60381.269523271	535.650	52.07912	-54.22708
6.2	186	 15	0	8	131	75	162	19208	265.5314	60381.269623591	584.751	51.75443	-55.12824
6.1	200	177	5	46	74	76	161	19502	269.5956	60381.269670631	330.318	51.65720	-54.43237
6.2	144	 38	0	187	74	76	164	19643	271.5448	60381.269693191	330.318	52.06926	-55.03070
6.0	218	212	3	117	156	78	159	20085	277.6550	60381.269763911	696.345	51.52774	-54.28077
6.1	183	102	6	85	9	79	161	20309	280.7516	60381.269799751	40.174	51.77900	-54.75541
6.1	134	162	6	21	16	79	160	20245	279.8669	60381.269789511	71.420	52.14379	-54.49847
6.0	245	 45	0	84	24	80	159	20564	284.2767	60381.269840551	107.130	51.31450	-54.99665
6.2	215	 78	5	85	125	80	162	20565	284.2906	60381.269840711	557.969	51.54000	-54.85703
6.1	 38	 13	5	187	9	82	160	21179	292.7785	60381.269938951	40.174	52.86759	-55.13532
6.0	 38	 13	6	189	12	82	158	21181	292.8062	60381.269939271	53.565	52.86759	-55.13532
6.1	248	131	4	206	130	82	160	21198	293.0411	60381.269941991	580.288	51.29930	-54.62743
6.2	248	131	6	207	132	82	162	21199	293.0550	60381.269942151	589.215	51.29930	-54.62743
6.2	192	 86	0	65	147	83	162	21313	294.6309	60381.269960391	656.172	51.71148	-54.82376
6.1	 96	 10	3	197	157	83	160	21445	296.4557	60381.269981511	700.809	52.43078	-55.15033
6.0	 96	 10	4	200	161	83	158	21448	296.4972	60381.269981991	718.664	52.43078	-55.15033
6.1	232	121	3	50	139	87	161	22322	308.5793	60381.270121831	620.461	51.41674	-54.67147
6.3	161	165	1	138	6	89	165	22922	316.8737	60381.270217831	26.783	51.94426	-54.48524
6.2	124	204	3	20	55	89	162	22804	315.2425	60381.270198951	245.506	52.21830	-54.31765
6.0	 10	204	3	16	145	90	158	23056	318.7261	60381.270239271	647.244	53.06001	-54.31345
6.0	192	200	3	79	39	91	159	23375	323.1360	60381.270290311	174.086	51.71767	-54.33366
