,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,lpix_rms,mpix_rms,centl,centm,num_samps,num_spatial
7,6.199999809265137,249.0,165.0,6.0,96.0,119.0,5.0,163.0,1376.0,19.021799087524414,60381.266770471,531.1859741210938,44.02617,-54.53653,7.0,0.44721359549995515,0.0,248.8,165.0,5.0,-1.0
26,6.400000095367432,91.0,161.0,1.0,77.0,156.0,30.0,168.0,7757.0,107.23280334472656,60381.267791431,696.344970703125,45.19503,-54.55778,26.0,0.0,0.0,91.0,161.0,3.0,-1.0
28,6.300000190734863,177.0,114.0,3.0,142.0,76.0,31.0,165.0,8078.0,111.67030334472656,60381.267842791,339.2449951171875,44.55598,-54.75949,28.0,0.0,0.0,177.0,114.0,6.0,-1.0
43,6.300000190734863,151.0,235.0,6.0,166.0,72.0,43.0,165.0,11174.0,154.4694061279297,60381.268338151,321.3900146484375,44.75276,-54.23924,43.0,0.0,0.0,151.0,235.0,4.0,-1.0
47,6.300000190734863,170.0,46.0,6.0,129.0,114.0,44.0,166.0,11393.0,157.49679565429688,60381.268373191,508.8680114746094,44.60646,-55.05135,47.0,0.0,0.0,170.0,46.0,4.0,-1.0
58,6.199999809265137,218.0,163.0,3.0,240.0,53.0,54.0,162.0,14064.0,194.4207000732422,60381.268800551,236.57899475097656,44.25484,-54.54712,58.0,0.5000000000000023,0.0,218.25,163.0,4.0,-1.0
70,6.099999904632568,186.0,162.0,3.0,196.0,8.0,60.0,161.0,15556.0,215.0460968017578,60381.269039271,35.709999084472656,44.49134,-54.55287,70.0,0.0,0.0,186.0,162.0,3.0,-1.0
75,6.400000095367432,45.0,143.0,6.0,117.0,84.0,60.0,169.0,15477.0,213.9541015625,60381.269026631,374.9549865722656,45.53752,-54.63349,75.0,0.3779644730092272,0.0,44.857142857142854,143.0,7.0,-1.0
80,6.5,91.0,194.0,3.0,38.0,146.0,61.0,171.0,15654.0,216.40089416503906,60381.269054951,651.7080078125,45.19441,-54.41572,80.0,0.4216370213557849,0.3162277660168376,91.8,194.9,10.0,-1.0
101,6.5,56.0,121.0,3.0,134.0,46.0,68.0,171.0,17542.0,242.50059509277344,60381.269357031,205.33299255371094,45.45691,-54.72856,101.0,0.5163977794943216,0.0,55.666666666666664,121.0,6.0,-1.0
