# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg	ibeam	latency_ms
6.4	128	128	0	3	3	0	206	3	0.0415	60445.381708471	15.292	128.83333	-45.17639	20	4710.5
6.1	129	128	0	3	3	0	197	3	0.0415	60445.381708471	15.292	128.82724	-45.17639	20	4710.5
6.1	127	128	0	3	3	0	197	3	0.0415	60445.381708471	15.292	128.83943	-45.17639	20	4710.5
6.3	128	128	0	42	3	0	204	42	0.5806	60445.381714711	15.292	128.83333	-45.17639	20	4171.4
6.1	129	128	0	42	3	0	195	42	0.5806	60445.381714711	15.292	128.82724	-45.17639	20	4171.4
6.1	127	128	0	42	3	0	196	42	0.5806	60445.381714711	15.292	128.83943	-45.17639	20	4171.4
6.9	128	128	0	152	3	0	222	152	2.1012	60445.381732311	15.292	128.83333	-45.17639	20	2650.8
6.4	128	127	0	152	3	0	207	152	2.1012	60445.381732311	15.292	128.83333	-45.18069	20	2650.8
6.5	129	128	0	152	3	0	209	152	2.1012	60445.381732311	15.292	128.82724	-45.17639	20	2650.8
6.0	129	127	0	152	3	0	194	152	2.1012	60445.381732311	15.292	128.82724	-45.18069	20	2650.8
6.7	127	128	0	152	3	0	216	152	2.1012	60445.381732311	15.292	128.83943	-45.17639	20	2650.8
6.3	127	127	0	152	3	0	203	152	2.1012	60445.381732311	15.292	128.83943	-45.18069	20	2650.8
8.0	128	128	0	165	3	0	258	165	2.2810	60445.381734391	15.292	128.83333	-45.17639	20	2471.1
7.4	128	127	0	165	3	0	237	165	2.2810	60445.381734391	15.292	128.83333	-45.18069	20	2471.1
7.6	129	128	0	165	3	0	244	165	2.2810	60445.381734391	15.292	128.82724	-45.17639	20	2471.1
7.0	129	127	0	165	3	0	224	165	2.2810	60445.381734391	15.292	128.82724	-45.18069	20	2471.1
6.6	130	128	0	165	3	0	211	165	2.2810	60445.381734391	15.292	128.82114	-45.17639	20	2471.1
6.0	130	127	0	165	3	0	194	165	2.2810	60445.381734391	15.292	128.82114	-45.18068	20	2471.1
6.8	126	128	0	165	3	0	220	165	2.2810	60445.381734391	15.292	128.84552	-45.17639	20	2471.1
6.2	126	127	0	165	3	0	201	165	2.2810	60445.381734391	15.292	128.84552	-45.18068	20	2471.1
7.7	127	128	0	165	3	0	249	165	2.2810	60445.381734391	15.292	128.83943	-45.17639	20	2471.1
7.1	127	127	0	165	3	0	229	165	2.2810	60445.381734391	15.292	128.83943	-45.18069	20	2471.1
7.4	128	128	0	223	3	0	237	223	3.0828	60445.381743671	15.292	128.83333	-45.17639	20	1669.3
6.9	128	127	0	223	3	0	221	223	3.0828	60445.381743671	15.292	128.83333	-45.18069	20	1669.3
7.0	129	128	0	223	3	0	225	223	3.0828	60445.381743671	15.292	128.82724	-45.17639	20	1669.3
6.6	129	127	0	223	3	0	212	223	3.0828	60445.381743671	15.292	128.82724	-45.18069	20	1669.3
6.0	130	128	0	223	3	0	194	223	3.0828	60445.381743671	15.292	128.82114	-45.17639	20	1669.3
6.2	126	128	0	217	3	0	201	217	2.9998	60445.381742711	15.292	128.84552	-45.17639	20	1752.2
7.1	127	128	0	223	3	0	227	223	3.0828	60445.381743671	15.292	128.83943	-45.17639	20	1669.3
6.5	127	127	0	223	3	0	210	223	3.0828	60445.381743671	15.292	128.83943	-45.18069	20	1669.3
7.5	128	128	0	230	3	0	242	230	3.1795	60445.381744791	15.292	128.83333	-45.17639	20	1572.5
6.9	128	127	0	230	3	0	221	230	3.1795	60445.381744791	15.292	128.83333	-45.18069	20	1572.5
7.2	129	128	0	230	3	0	231	230	3.1795	60445.381744791	15.292	128.82724	-45.17639	20	1572.5
6.6	129	127	0	230	3	0	211	230	3.1795	60445.381744791	15.292	128.82724	-45.18069	20	1572.5
6.2	130	128	0	230	3	0	201	230	3.1795	60445.381744791	15.292	128.82114	-45.17639	20	1572.5
6.3	126	128	1	230	3	0	202	230	3.1795	60445.381744791	15.292	128.84552	-45.17639	20	1572.5
7.2	127	128	0	230	3	0	231	230	3.1795	60445.381744791	15.292	128.83943	-45.17639	20	1572.5
6.6	127	127	0	230	3	0	211	230	3.1795	60445.381744791	15.292	128.83943	-45.18069	20	1572.5
9.0	128	128	0	236	3	0	288	236	3.2625	60445.381745751	15.292	128.83333	-45.17639	20	1489.6
8.3	128	127	0	236	3	0	266	236	3.2625	60445.381745751	15.292	128.83333	-45.18069	20	1489.6
8.4	129	128	0	236	3	0	270	236	3.2625	60445.381745751	15.292	128.82724	-45.17639	20	1489.6
7.8	129	127	0	236	3	0	250	236	3.2625	60445.381745751	15.292	128.82724	-45.18069	20	1489.6
7.2	130	128	0	236	3	0	231	236	3.2625	60445.381745751	15.292	128.82114	-45.17639	20	1489.6
6.7	130	127	0	236	3	0	215	236	3.2625	60445.381745751	15.292	128.82114	-45.18068	20	1489.6
6.2	125	128	0	236	3	0	200	236	3.2625	60445.381745751	15.292	128.85162	-45.17639	20	1489.6
7.7	126	128	0	236	3	0	249	236	3.2625	60445.381745751	15.292	128.84552	-45.17639	20	1489.6
7.1	126	127	0	236	3	0	227	236	3.2625	60445.381745751	15.292	128.84552	-45.18068	20	1489.6
8.7	127	128	0	236	3	0	280	236	3.2625	60445.381745751	15.292	128.83943	-45.17639	20	1489.6
8.0	127	127	0	236	3	0	258	236	3.2625	60445.381745751	15.292	128.83943	-45.18069	20	1489.6
7.0	128	128	0	249	3	0	224	249	3.4422	60445.381747831	15.292	128.83333	-45.17639	20	1309.8
6.4	128	127	0	249	3	0	205	249	3.4422	60445.381747831	15.292	128.83333	-45.18069	20	1309.8
6.7	129	128	0	249	3	0	214	249	3.4422	60445.381747831	15.292	128.82724	-45.17639	20	1309.8
6.2	129	127	0	249	3	0	199	249	3.4422	60445.381747831	15.292	128.82724	-45.18069	20	1309.8
6.6	127	128	0	249	3	0	212	249	3.4422	60445.381747831	15.292	128.83943	-45.17639	20	1309.8
7.7	128	128	1	4	4	0	248	4	0.0553	60445.381708631	20.390	128.83333	-45.17639	20	4696.7
7.3	128	127	1	4	4	0	234	4	0.0553	60445.381708631	20.390	128.83333	-45.18069	20	4696.7
7.2	129	128	1	4	4	0	233	4	0.0553	60445.381708631	20.390	128.82724	-45.17639	20	4696.7
7.0	129	127	1	4	4	0	225	4	0.0553	60445.381708631	20.390	128.82724	-45.18069	20	4696.7
6.0	130	128	0	3	4	0	194	3	0.0415	60445.381708471	20.390	128.82114	-45.17639	20	4710.5
6.2	126	128	0	3	4	0	198	3	0.0415	60445.381708471	20.390	128.84552	-45.17639	20	4710.5
7.4	127	128	0	3	4	0	237	3	0.0415	60445.381708471	20.390	128.83943	-45.17639	20	4710.5
6.9	127	127	0	3	4	0	222	3	0.0415	60445.381708471	20.390	128.83943	-45.18069	20	4710.5
7.0	128	128	0	42	4	0	225	42	0.5806	60445.381714711	20.390	128.83333	-45.17639	20	4171.4
6.4	128	127	0	42	4	0	206	42	0.5806	60445.381714711	20.390	128.83333	-45.18069	20	4171.4
6.7	129	128	0	42	4	0	214	42	0.5806	60445.381714711	20.390	128.82724	-45.17639	20	4171.4
6.2	129	127	0	42	4	0	198	42	0.5806	60445.381714711	20.390	128.82724	-45.18069	20	4171.4
6.7	127	128	0	42	4	0	216	42	0.5806	60445.381714711	20.390	128.83943	-45.17639	20	4171.4
6.1	127	127	0	42	4	0	197	42	0.5806	60445.381714711	20.390	128.83943	-45.18069	20	4171.4
7.6	128	128	0	152	4	0	245	152	2.1012	60445.381732311	20.390	128.83333	-45.17639	20	2650.8
7.1	128	127	0	152	4	0	228	152	2.1012	60445.381732311	20.390	128.83333	-45.18069	20	2650.8
7.1	129	128	0	152	4	0	230	152	2.1012	60445.381732311	20.390	128.82724	-45.17639	20	2650.8
6.7	129	127	0	152	4	0	214	152	2.1012	60445.381732311	20.390	128.82724	-45.18069	20	2650.8
6.1	130	128	0	152	4	0	195	152	2.1012	60445.381732311	20.390	128.82114	-45.17639	20	2650.8
6.5	126	128	0	152	4	0	208	152	2.1012	60445.381732311	20.390	128.84552	-45.17639	20	2650.8
7.4	127	128	0	152	4	0	237	152	2.1012	60445.381732311	20.390	128.83943	-45.17639	20	2650.8
6.8	127	127	0	152	4	0	220	152	2.1012	60445.381732311	20.390	128.83943	-45.18069	20	2650.8
9.0	128	128	0	165	4	0	288	165	2.2810	60445.381734391	20.390	128.83333	-45.17639	20	2471.1
8.2	128	127	0	165	4	0	265	165	2.2810	60445.381734391	20.390	128.83333	-45.18069	20	2471.1
8.5	129	128	0	165	4	0	272	165	2.2810	60445.381734391	20.390	128.82724	-45.17639	20	2471.1
7.8	129	127	0	165	4	0	252	165	2.2810	60445.381734391	20.390	128.82724	-45.18069	20	2471.1
7.3	130	128	0	165	4	0	234	165	2.2810	60445.381734391	20.390	128.82114	-45.17639	20	2471.1
6.8	130	127	0	165	4	0	218	165	2.2810	60445.381734391	20.390	128.82114	-45.18068	20	2471.1
7.5	126	128	0	165	4	0	242	165	2.2810	60445.381734391	20.390	128.84552	-45.17639	20	2471.1
6.8	126	127	0	165	4	0	218	165	2.2810	60445.381734391	20.390	128.84552	-45.18068	20	2471.1
8.6	127	128	0	165	4	0	277	165	2.2810	60445.381734391	20.390	128.83943	-45.17639	20	2471.1
7.8	127	127	0	165	4	0	252	165	2.2810	60445.381734391	20.390	128.83943	-45.18069	20	2471.1
8.1	128	128	0	217	4	0	260	217	2.9998	60445.381742711	20.390	128.83333	-45.17639	20	1752.2
7.4	128	127	0	217	4	0	239	217	2.9998	60445.381742711	20.390	128.83333	-45.18069	20	1752.2
7.5	129	128	0	223	4	0	242	223	3.0828	60445.381743671	20.390	128.82724	-45.17639	20	1669.3
7.0	129	127	0	223	4	0	225	223	3.0828	60445.381743671	20.390	128.82724	-45.18069	20	1669.3
6.3	130	128	0	223	4	0	202	223	3.0828	60445.381743671	20.390	128.82114	-45.17639	20	1669.3
6.7	126	128	0	217	4	0	217	217	2.9998	60445.381742711	20.390	128.84552	-45.17639	20	1752.2
6.2	126	127	0	217	4	0	198	217	2.9998	60445.381742711	20.390	128.84552	-45.18068	20	1752.2
7.8	127	128	0	217	4	0	252	217	2.9998	60445.381742711	20.390	128.83943	-45.17639	20	1752.2
7.2	127	127	0	217	4	0	232	217	2.9998	60445.381742711	20.390	128.83943	-45.18069	20	1752.2
8.4	128	128	0	230	4	0	269	230	3.1795	60445.381744791	20.390	128.83333	-45.17639	20	1572.5
7.6	128	127	0	230	4	0	243	230	3.1795	60445.381744791	20.390	128.83333	-45.18069	20	1572.5
7.9	129	128	0	230	4	0	254	230	3.1795	60445.381744791	20.390	128.82724	-45.17639	20	1572.5
7.1	129	127	0	230	4	0	230	230	3.1795	60445.381744791	20.390	128.82724	-45.18069	20	1572.5
6.7	130	128	0	230	4	0	216	230	3.1795	60445.381744791	20.390	128.82114	-45.17639	20	1572.5
6.1	130	127	0	230	4	0	195	230	3.1795	60445.381744791	20.390	128.82114	-45.18068	20	1572.5
6.7	126	128	0	230	4	0	216	230	3.1795	60445.381744791	20.390	128.84552	-45.17639	20	1572.5
6.1	126	127	0	230	4	0	196	230	3.1795	60445.381744791	20.390	128.84552	-45.18068	20	1572.5
7.9	127	128	0	230	4	0	255	230	3.1795	60445.381744791	20.390	128.83943	-45.17639	20	1572.5
7.2	127	127	0	230	4	0	231	230	3.1795	60445.381744791	20.390	128.83943	-45.18069	20	1572.5
9.8	128	128	0	236	4	0	315	236	3.2625	60445.381745751	20.390	128.83333	-45.17639	20	1489.6
9.0	128	127	0	236	4	0	289	236	3.2625	60445.381745751	20.390	128.83333	-45.18069	20	1489.6
9.0	129	128	0	236	4	0	290	236	3.2625	60445.381745751	20.390	128.82724	-45.17639	20	1489.6
8.3	129	127	0	236	4	0	267	236	3.2625	60445.381745751	20.390	128.82724	-45.18069	20	1489.6
7.5	130	128	0	236	4	0	240	236	3.2625	60445.381745751	20.390	128.82114	-45.17639	20	1489.6
6.9	130	127	0	236	4	0	221	236	3.2625	60445.381745751	20.390	128.82114	-45.18068	20	1489.6
